comment,is_aggressive
Все хорошо но странно жужжит печка [SEP]  Очень неприятный звук,0
Все понравилось,0
Поездка прошла отлично,0
У него есть вкусные конфетки для пассажиров [SEP]  Очень приятно [SEP]  Классный добрый водитель,0
Все ок чуть чуть грязноватая машина снаружи но в такую погоду это понятно,0
Отличный водитель [SEP]  Оставлю чаевых,0
не работают ремни безопасности на заднем сидении,1
Все отлично,0
Хотел закурить но не стал,0
Все отлично,0
Машина сильно битая в заднее правое крыло выглядит ужасно,1
Все отлично мило поболтали послушали Элвиса [SEP]  10 из 10,0
Буквы номера не совпадают с заявленными цифры совпадают,0
Без маски и кашлял,0
В машине пахнет сигаретами а в остальном все нормально,0
Вежливый водитель хорошая музыка,0
Телеграм подвис последний ответ да поведение корректное,1
Приятный водитель забавный,0
Нет зеркала заднего вида,0
Не понимаю почему чаще всего навигатор ведет водителей через Алабяна [SEP]  По ощущениям это самый длинный путь [SEP]  Но по навигатору водители говорят одинаково,0
не верные буквы в приложении к697тм,0
Очень вежливый водитель,0
Гос номер не совпадал,0
Отличный водитель,0
Все ок только нельзя пристегнуться сзади справа,0
Не хотел так далеко ехать Охал и ахал всю дорогу,0
Отличная поездка,0
Отличный водитель,0
Все радует ,0
Отказывался нажать «Поехали» долго держал «Машина подана» хотя уже ехали [SEP]  Не пристёгивается,0
Вежливый,0
Грубый но это не мешало,0
Буквы номера машины отличаются внт,0
Отличный водитель [SEP]  Выразите ему благодарность [SEP]  Очень вежлив тактичен [SEP]  Все на высшем уровне [SEP]  Спасибо,0
1 [SEP]  Водитель во всё время движения машины не был пристёгнут 2 [SEP]  Водитель заехал на АЗС заправиться не предупредив и не спросив как это пассажирам,1
Все понравилось [SEP]  Профессиональный водитель и вежливый,0
Другой гос номер авто,0
Все ок,0
Отличаются номера [SEP]  Машина не полностью оклеена в жёлтую плёнку чёрный передний бампер  [SEP]  В машине неприятно пахнет она в плохом состоянии,1
Он как то не очень хорошо понимает что происходит [SEP]  Приехал меня забирать начал уезжать тут же говорит что ему за мной надо ехать [SEP]  Я ему говорю так я уже здесь вот он [SEP]  Он говорит что приложение показывает что за мной ехать надо [SEP]  Я его спрашиваю куда [SEP]  Он называет пункт назначения я ему говорю что это меня туда отвезти надо [SEP]  Очень тугой тип,0
отличный вежливый водитель,0
остановился не у того конца дома точка стояла в другом месте,0
Серьезный водитель,0
В салоне грязно,0
Всё отлично,0
В машине пахнет куревом но сам водитель очень доброжелательный,0
Водитель смотрел ютьюбчик а так все ок,0
Ездит рывками и с нарушениями скоростного режима,1
Все супер ,0
Номер х518ем37,0
Отличный водитель с прекрасным знанием города,0
сначала в машине был приятный запах потом сильно запахло бензином и меня сильно укачало,0
очень хорошо и радио монте карло,0
Отличный дядюшка,0
Неверная подача пришлось идти с тяжёлыми сумками вокруг дома платное ожидание,0
Очень приятный водитель хорошо поговорили,0
Играла восточная музыка [SEP]  Я попросила включить Energy [SEP]  На что он включил Русский хит [SEP]  После повторной просьбы все же нашёл Energy [SEP]  За что ему большое спасибо,0
Общался по видеосвязи,0
нельзя пристегнуться сзади замочки спрятаны под чехол,0
Все понравилось,0
У водителя проблемы с gps или же его отключает причем в двух предыдущих закрытых заказах водителя та же ситуация [SEP]  По причине того что не было понятно где водитель находится вплоть до звонка ему до этого на сообщение в чате он не ответил возникло платное ожидание в одну минуту,0
С059ку гос номер но он вроде позвонил в парк при мне,0
Очень прокуренная машина нечем дышать выходишь весь пропахший табаком,0
Вежливый,0
Отличный водитель [SEP]  Очень вежливый и приятный,0
Вежливый водитель даже пожелал хорошего дня,0
Номер совпадает,0
Водитель поставил на масте когда ещё не приехал по адресу и добавил платное ожидание за то время которое я его ждала,0
Радио громковато но не проблема решили,0
Все хорошо,0
Очень понравилось то что водитель ехал очень аккуратно так как видел что я с тортом еду,0
Подача свыше 20 мин катастрофа,0
машина была золотым цветом номер «т788ар50»,0
Водитель вызвался бескорыстно привезти забытый в машине зонт,0
Все ок,0
Привёз не туда похоже на баг карт раньше карты вели по другому,0
Прекрасный,0
Водитель отметил что доехал хотя надо было заехать во двор и как то не хотя это сделал [SEP]  Но в итоге довёз куда нужно,0
Всю дорогу смотрел кино с телефона,1
очень приятный водитель,0
Глухонемой водитель но прислушивается к клиенту лучше чем слышащий [SEP]  Оставила ему чаевые,0
Очень дергано ехал постоянно ускорялся,1
Пусть смотрит на карту куда едет [SEP]  А то проезжает точки,0
Стоял не на выбранном адресе а на дублере [SEP]  Пока позвонила дошла пошло платное ожидание,0
Подложные номера,0
Супер милый водитель [SEP]  За отсутсвие маски не обижаюсь так как сама переболела,0
Водитель не начал поездку вовремя только через 15 минут после начала когда я сама заметила это в приложении также водитель в разговоре обращался на «ты»,0
На автомобиле были наклейки Яндекс такси,0
Не совпадают буквы номера [SEP]  Разбит багажник и передний бампер,0
Попросил везти аккуратнее и сказал что я не тороплюсь он прислушался,1
Ужасная разделительная пленка она очевидно ни от чего не защищает так как отклеивается и рваная а выглядит это убого,0
Приехал не туда и 5 минут не мог найти въезд во двор,0
Очень дёргается сильно при вождении совершает опасные маневры [SEP]  В салоне установлено детское кресло думаю что с детишками так ездить неприемлемо,1
Начал движение до того как я дверь закрыла [SEP]  Так и выпасть можно,1
Опасно гнал,1
Водитель забыл начать поездку,0
Отличный водитель,0
приятный водитель,0
Не та машина Не те номера,0
Без остановки ругался матом и очень опасное вождение,1
Со всеми ругается водит очень лихо,1
Некорректный номер автомобиля на оклейке,0
водитель больше 13 часов за рулём [SEP]  Сам сказал что в Янлекс уде 12 отказал и его Яндекс удалил с линии  [SEP]  Засыпает еще и на сбер просил перевести денег,1
Водитель завершил поездку не доехав половину маршрута,0
Очень старается,0
Когда я села в такси водитель спросил надеть ли ему тоже маску я сказала как хотите он не надел [SEP]  На просьбу закрыть окно немного прикрыл его [SEP]  Водитель ехал не аккуратно кажется он не очень хорошо видит даже в очках все время щурился и пригибался,1
Предложил открыть дверь очень вежливый,0
Пожелал хороших выходных,0
От водителя неприятно пахло,0
Включи ожидание секунд за 20 до приезда на место,0
Брендинг конкурента,1
Водитель поставил статус что машина подана заранее [SEP]  Но в остальном всё очень хорошо,0
Реальный номер х019хт152 газетки на ковриках,0
Машина только снаружи грязноватая внутри все чисто,0
Достаточно долго стоял на одном месте перед тем как поехать Где то минут 10 пришлось ждать когда водитель поедет причём на вопрос в чате никак не отреагировал,0
Звонил по телефону и одной рукой мин 10 поездки переключал передачи и рулил,0
Водитель норм [SEP]  Но [SEP]  Остановили гибдд просил сказать если спросят что он не таксист [SEP]  Уточнял моё имя [SEP]  Есть повод сомневаться что у него всё хорошо,0
Не работают ремни безопасности,0
Всё отлично,0
Водитель приятный в общении [SEP]  Но показалось что почему то нервничал,0
Говорил по телефону во время движения делал опасные перестроения,1
Отличный водитель помог нам найти более короткий путь,0
На заднем сиденье жёлтые полосы и пятна остались похоже будто ребёнок рисовал,0
